votesCount,commentsCount,launch_hour,weekday,month,year,is_featured,description_length,tagline_length,topic_count,maker_count,maker_total_followers,hunter_followers_count,media_count,has_video,self_launched,primary_topic,hunter_prev_launches,hunter_prev_avg_votes,maker_prev_launches,maker_prev_avg_votes,is_synthetic,SUCCESS,total_social_reach,log_social_reach,log_maker_followers,log_hunter_followers,log_description_length,log_tagline_length,log_media_count,sin_hour,cos_hour,is_weekend,launch_window,has_video_int,media_x_video,self_launched_int,log_hunter_prev_launches,log_hunter_prev_avg_votes,log_maker_prev_launches,log_maker_prev_avg_votes,primary_topic_grouped
721.0,97.0,7,0,7,2026,True,69,36,3,1,1916.0,5108.0,4,True,False,Other,0,172.4,29,0.5,True,1,7024.0,8.857230494201946,7.558516743045645,8.538758969330798,4.248495242049359,3.6109179126442243,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,1,4,0,0.0,5.155601064346442,3.4011973816621555,0.4054651081081644,Other
122.0,33.0,7,4,6,2026,False,461,50,3,2,179809.0,10.0,5,False,False,Other,1,0.0,0,0.2,True,1,179819.0,12.099711629538763,12.099656016825683,2.3978952727983707,6.135564891081739,3.9318256327243257,1.791759469228055,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.6931471805599453,0.0,0.0,0.18232155679395465,Other
347.0,77.0,7,6,6,2026,True,52,52,3,3,39.0,1467.0,8,False,True,Other,0,0.0,0,0.0,False,1,1506.0,7.317876198626496,3.6888794541139363,7.291656209174461,3.970291913552122,3.970291913552122,2.1972245773362196,0.9659258262890683,-0.25881904510252063,1,morning,0,0,1,0.0,0.0,0.0,0.0,Other
131.0,5.0,7,3,5,2023,True,66,35,5,1,43578.0,10.0,6,False,False,Design Tools,0,0.0,215,0.0,True,1,43588.0,10.682560103927765,10.682330661929695,2.3978952727983707,4.204692619390966,3.58351893845611,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,5.375278407684165,0.0,Design Tools
12.0,13.0,14,5,5,2023,False,148,32,3,1,5.0,1743.0,1,False,True,Other,0,0.0,0,1.2,True,0,1748.0,7.466799475018602,1.791759469228055,7.463936604468925,5.003946305945459,3.4965075614664802,0.6931471805599453,-0.4999999999999998,-0.8660254037844388,1,afternoon,0,0,1,0.0,0.0,0.0,0.7884573603642702,Other
6.0,5.0,17,3,5,2023,False,190,59,3,3,3038.0,57.0,3,False,False,Other,0,0.0,0,0.0,True,0,3095.0,8.037866234709618,8.019283792916793,4.060443010546419,5.25227342804663,4.0943445622221,1.3862943611198906,-0.9659258262890683,-0.25881904510252063,0,afternoon,0,0,0,0.0,0.0,0.0,0.0,Other
2.0,0.0,4,4,5,2023,False,232,21,1,1,351.0,239.0,1,False,True,Other,0,0.0,0,0.0,False,0,590.0,6.3818160174060985,5.863631175598097,5.480638923341991,5.4510384535657,3.091042453358316,0.6931471805599453,0.8660254037844386,0.5000000000000001,0,late_night,0,0,1,0.0,0.0,0.0,0.0,Other
147.0,41.0,7,0,7,2026,True,68,41,3,1,223121.0,3046.0,6,True,False,Other,0,0.0,0,161.7,True,1,226167.0,12.32903336492898,12.315473986047499,8.021912778985708,4.23410650459726,3.7376696182833684,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,1,6,0,0.0,0.0,0.0,5.091908014224992,Other
167.0,17.0,7,0,7,2026,True,60,60,3,3,2712.0,10015.0,4,False,False,Design Tools,0,0.0,1617,0.0,True,1,12727.0,9.451559570017622,7.905810312658931,9.211939093339879,4.110873864173311,4.110873864173311,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,7.388946097618437,0.0,Design Tools
15.0,3.0,0,1,3,2023,False,175,57,2,1,171.0,127.0,2,False,True,Artificial Intelligence,0,0.0,0,0.0,False,0,298.0,5.700443573390687,5.147494476813453,4.852030263919617,5.170483995038151,4.060443010546419,1.0986122886681098,0.0,1.0,0,late_night,0,0,1,0.0,0.0,0.0,0.0,Artificial Intelligence
599.0,39.0,7,6,6,2026,True,269,56,3,1,2717.0,4618.0,9,True,False,Productivity,0,115.9,12,2.9,True,1,7335.0,8.9005490139363,7.907651594711089,8.437933510430605,5.598421958998375,4.04305126783455,2.302585092994046,0.9659258262890683,-0.25881904510252063,1,morning,1,9,0,0.0,4.761318868478023,2.5649493574615367,1.3609765531356006,Productivity
411.0,24.0,7,6,9,2026,False,62,47,3,2,3094.0,31039.0,6,True,False,Productivity,0,196.2,0,462.0,True,1,34133.0,10.438049233978703,8.037543185118697,10.343031974297155,4.143134726391533,3.871201010907891,1.9459101490553132,0.9659258262890683,-0.25881904510252063,1,morning,1,6,0,0.0,5.284218442168535,0.0,6.137727054086234,Productivity
92.0,95.0,7,3,5,2026,True,267,59,1,1,5.0,1312.0,6,True,False,Android,0,0.0,644,0.0,True,0,1317.0,7.183870715062453,1.791759469228055,7.180069874302796,5.5909869805108565,4.0943445622221,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,1,6,0,0.0,0.0,6.4692503167957724,0.0,Android
97.0,56.0,7,6,7,2026,True,40,39,3,3,1331.0,548.0,8,False,False,Social Media,0,0.0,5,1.0,True,0,1879.0,7.539027055823995,7.194436851100335,6.3080984415095305,3.713572066704308,3.6888794541139363,2.1972245773362196,0.9659258262890683,-0.25881904510252063,1,morning,0,0,0,0.0,0.0,1.791759469228055,0.6931471805599453,Other
