feature,importance
primary_topic_Linux,0.020366443
primary_topic_API,0.019362716
primary_topic_Growth Hacking,0.018884666
launch_hour,0.018410018
primary_topic_Fintech,0.018401371
primary_topic_Chrome Extensions,0.017103573
primary_topic_Marketing,0.016544618
primary_topic_Productivity,0.016423132
primary_topic_SaaS,0.016126823
primary_topic_Art,0.015954984
total_social_reach,0.015523684
log_social_reach,0.015472313
primary_topic_Mac,0.015293607
primary_topic_Developer Tools,0.015081098
primary_topic_Health & Fitness,0.0148652475
hunter_followers_count,0.014777467
primary_topic_Web App,0.014412759
primary_topic_Startup Books,0.014086355
primary_topic_iOS,0.013724195
primary_topic_Email,0.01342963
primary_topic_Social Media,0.01341027
description_length,0.013365151
media_count,0.013352147
maker_total_followers,0.013243964
primary_topic_Android,0.01316785
primary_topic_Sales,0.013163267
primary_topic_Education,0.013155733
topic_count,0.013144597
primary_topic_Hardware,0.013013964
primary_topic_Tech,0.012891622
primary_topic_Couples,0.012858372
weekday,0.012776848
primary_topic_Analytics,0.012766079
has_makers,0.012564204
primary_topic_Browser Extensions,0.012247564
tagline_length,0.012224278
primary_topic_Cars,0.012161314
maker_count,0.012059858
primary_topic_Payments,0.012039674
primary_topic_Menu Bar Apps,0.011930138
primary_topic_Design Tools,0.011925829
primary_topic_Software Engineering,0.011901964
has_video,0.011727323
primary_topic_No-Code,0.011702164
primary_topic_Artificial Intelligence,0.011682879
primary_topic_Home,0.011682294
primary_topic_Music,0.011641564
primary_topic_Slack,0.0115684075
month,0.011546443
primary_topic_Hiring,0.011454663
primary_topic_Privacy,0.011405713
primary_topic_Fashion,0.011175306
primary_topic_Open Source,0.011080145
primary_topic_Task Management,0.010956052
primary_topic_Notes,0.01094374
primary_topic_Prototyping,0.010905994
primary_topic_Weather,0.010542769
primary_topic_Robots,0.010452235
primary_topic_Virtual Reality,0.01038827
primary_topic_eBook Reader,0.010137157
primary_topic_Streaming Services,0.010136509
primary_topic_Customer Communication,0.009914282
primary_topic_Writing,0.009809693
primary_topic_Kids,0.009754253
primary_topic_Advertising,0.0097013675
primary_topic_User Experience,0.009581234
primary_topic_Email Marketing,0.0093641905
primary_topic_Comics & Graphic Novels,0.009345895
primary_topic_Messaging,0.009061155
primary_topic_Retro Games,0.009024086
primary_topic_Travel,0.00897165
primary_topic_Time Tracking,0.008494815
primary_topic_Venture Capital,0.008269976
primary_topic_Custom Keyboards,0.008090626
primary_topic_3D Printer,0.0080328975
is_weekend,0.007968331
primary_topic_Meetings,0.007898014
primary_topic_Customer Success,0.007855904
primary_topic_Crypto,0.007796091
primary_topic_Vibe coding,0.007192964
primary_topic_Dating,0.0071509704
primary_topic_Audio,0.00641548
primary_topic_WordPress,0.0055670994
primary_topic_Emoji,0.0
self_launched,0.0
primary_topic_Human Resources,0.0
primary_topic_Social Network,0.0
