votesCount,commentsCount,launch_hour,weekday,month,year,is_featured,description_length,tagline_length,topic_count,maker_count,maker_total_followers,hunter_followers_count,media_count,has_video,self_launched,primary_topic,hunter_prev_launches,hunter_prev_avg_votes,maker_prev_launches,maker_prev_avg_votes,is_synthetic
721.0,97.0,7,0,7,2026,True,69,36,3,1,1916.0,5108.0,4,True,False,Other,0,172.4,29,0.5,True
122.0,33.0,7,4,6,2026,False,461,50,3,2,179809.0,10.0,5,False,False,Other,1,0.0,0,0.2,True
347.0,77.0,7,6,6,2026,True,52,52,3,3,39.0,1467.0,8,False,True,Other,0,0.0,0,0.0,False
131.0,5.0,7,3,5,2023,True,66,35,5,1,43578.0,10.0,6,False,False,Design Tools,0,0.0,215,0.0,True
12.0,13.0,14,5,5,2023,False,148,32,3,1,5.0,1743.0,1,False,True,Other,0,0.0,0,1.2,True
6.0,5.0,17,3,5,2023,False,190,59,3,3,3038.0,57.0,3,False,False,Other,0,0.0,0,0.0,True
2.0,0.0,4,4,5,2023,False,232,21,1,1,351.0,239.0,1,False,True,Other,0,0.0,0,0.0,False
147.0,41.0,7,0,7,2026,True,68,41,3,1,223121.0,3046.0,6,True,False,Other,0,0.0,0,161.7,True
167.0,17.0,7,0,7,2026,True,60,60,3,3,2712.0,10015.0,4,False,False,Design Tools,0,0.0,1617,0.0,True
15.0,3.0,0,1,3,2023,False,175,57,2,1,171.0,127.0,2,False,True,Artificial Intelligence,0,0.0,0,0.0,False
599.0,39.0,7,6,6,2026,True,269,56,3,1,2717.0,4618.0,9,True,False,Productivity,0,115.9,12,2.9,True
411.0,24.0,7,6,9,2026,False,62,47,3,2,3094.0,31039.0,6,True,False,Productivity,0,196.2,0,462.0,True
92.0,95.0,7,3,5,2026,True,267,59,1,1,5.0,1312.0,6,True,False,Android,0,0.0,644,0.0,True
97.0,56.0,7,6,7,2026,True,40,39,3,3,1331.0,548.0,8,False,False,Social Media,0,0.0,5,1.0,True
138.0,7.0,22,0,5,2023,False,196,21,2,1,168052.0,855.0,2,False,True,Fintech,0,0.0,0,1.7,True
11.0,6.0,8,4,5,2023,False,236,43,2,1,5.0,2772.0,3,False,True,Design Tools,0,0.0,279,2.4,True
3.0,1.0,7,4,5,2023,False,241,56,2,1,1184.0,1018.0,2,False,True,Other,0,0.0,0,0.0,False
1.0,3.0,7,0,7,2023,True,31,37,3,1,945.0,1997.0,2,False,False,Productivity,0,0.0,7,3.7,True
158.0,11.0,7,0,7,2026,True,169,38,3,2,5.0,1185.0,4,False,False,Productivity,0,0.0,0,0.2,True
124.0,158.0,7,5,7,2023,True,31,50,3,1,160824.0,4874.0,3,False,False,Marketing,0,53.3,0,0.0,True
26.0,5.0,23,6,7,2023,False,250,32,1,1,5.0,5549.0,4,False,True,Design Tools,0,0.0,2153,1.8,True
519.0,7.0,7,4,5,2023,True,250,26,3,1,258.0,2103.0,6,False,False,Marketing,0,0.0,0,1.6,True
214.0,127.0,7,6,7,2026,True,50,49,3,1,5.0,2203.0,8,True,False,Other,0,0.0,9,2.4,True
1.0,0.0,11,1,3,2023,False,271,33,2,0,5.0,64.0,1,False,True,Education,0,0.0,9,3.5,True
10.0,0.0,7,0,7,2023,True,250,32,1,20,5.0,1754.0,6,False,False,Analytics,0,0.0,1,0.0,True
393.0,2.0,7,0,7,2023,False,59,58,3,4,53.0,1680.0,6,False,False,Productivity,0,0.0,0,2.3,True
28.0,33.0,7,6,7,2026,False,58,58,3,1,791.0,726.0,8,True,False,Other,0,0.0,0,0.0,False
187.0,9.0,7,2,7,2026,True,50,25,3,3,5.0,12194.0,6,True,False,Other,0,0.0,10,55.9,True
1.0,1.0,5,5,5,2023,True,166,29,3,1,5.0,1990.0,3,False,True,Productivity,0,0.0,11,3.0,True
163.0,0.0,12,0,7,2023,False,33,38,3,1,5.0,1976.0,4,False,True,Fintech,0,0.0,0,0.1,True
4.0,0.0,6,0,3,2023,False,220,26,2,1,113.0,1881.0,2,True,False,Other,0,0.0,0,0.0,False
185.0,7.0,7,6,7,2023,True,46,59,3,3,5.0,806.0,6,False,False,Other,0,2.2,0,5.8,True
11.0,0.0,7,3,5,2026,False,234,32,3,1,2940.0,2527.0,4,True,False,Android,0,0.7,0,0.0,True
169.0,15.0,7,4,5,2026,True,85,52,3,1,2997.0,336.0,4,False,False,Artificial Intelligence,0,0.4,0,153.7,True
92.0,0.0,5,0,5,2023,True,246,37,3,1,5.0,856.0,4,False,False,Other,0,0.0,21,1.0,True
186.0,72.0,7,0,9,2026,True,166,57,3,3,59677.0,851.0,4,True,False,Chrome Extensions,0,0.0,3,247.1,True
124.0,0.0,21,5,7,2024,True,57,35,3,1,57980.0,3809.0,3,False,False,Design Tools,0,0.0,8,1.7,True
1.0,1.0,5,5,1,2023,False,271,17,2,1,177.0,729.0,1,False,True,Health & Fitness,0,0.0,0,0.0,False
32.0,67.0,12,3,7,2023,True,422,50,3,2,5.0,2426.0,6,False,False,Mac,0,0.0,2,221.0,True
11.0,12.0,7,4,7,2023,False,39,57,3,1,5.0,5277.0,8,False,True,Other,0,0.0,21,0.4,True
111.0,7.0,7,1,6,2026,True,45,45,3,1,3312.0,5519.0,9,False,False,Marketing,0,64.0,6,0.0,True
366.0,40.0,8,4,6,2022,True,103,29,3,1,168.0,2478.0,1,False,False,Other,0,0.0,0,0.0,False
27.0,0.0,7,4,7,2024,False,149,57,3,1,141184.0,1735.0,3,True,True,Health & Fitness,0,0.0,17,4.3,True
416.0,29.0,0,6,6,2026,True,172,32,3,1,385.0,28.0,5,True,False,Design Tools,0,0.0,0,0.0,False
246.0,359.0,7,0,7,2026,True,24,60,3,2,5.0,5668.0,6,False,False,Marketing,0,0.0,0,169.9,True
304.0,8.0,18,5,9,2022,True,86,59,3,1,259.0,870.0,7,True,False,Other,0,0.0,0,0.0,False
17.0,0.0,21,4,3,2023,False,167,58,3,3,1308.0,336.0,3,True,False,Artificial Intelligence,0,0.6,2,3.0,True
431.0,101.0,0,0,5,2023,False,55,40,3,1,5.0,8711.0,6,True,False,Design Tools,0,0.9,6,2.9,True
